乡村振兴，人才是关键。	Talent is the key to rural revitalization.	Rural revitalization, talent is key.	Rural revitalization, talent is key.
但客观上也导致农村“空心化”不同程度地出现，特别是农村基层组织弱化，村党支部书记和党员队伍均呈现出“一老一低”特征，即年龄老化、学历偏低，村党组织带头人队伍不强、青黄不接问题突出。	But objectively speaking, to varying degrees, it has also led to the “hollowing out” of Chinese villages, especially those where grassroots organizations are weak, and led to the “aging and lowering” phenomenon among village Party branch secretaries and cadres, in which these groups are both getting older and have lower educational attainment, leading to disinterest among young people in continuing the work of village Party organizations with weak leadership.	However, it has also led to the emergence of various levels of "hollowization" in the countryside, especially the weakening of the rural grassroots organization. The secretary of the village party branch and the party members display the characteristics of "old age and low education," namely, age, low education, and the leadership of the village party organization is not strong, and the problem	But objectively also led to rural "hollowing out" in different degrees, especially the weakening of rural grassroots organizations, village Party branch secretary and party members showed "one old one low" characteristics, namely aging, low education, village Party organization leaders team is not strong, yellow and yellow problem prominent.
如果乡村人才等要素一直单向流往城市，乡村长期处于“失血” “贫血”状态，振兴就是一句空话。	If rural talent and other assets only flow in one direction, to the cities, in the long term this leads to “loss of blood” and “anemia” in rural areas, in turn making “revitalization” an empty slogan.	If the village talent and other factors have been going one way to the city, the village is in a state of "blood loss" and "anemia" for a long time,	If elements such as rural talents have been flowing to cities in one direction, and the countryside has been in a state of "blood loss" and "anaemia" for a long time
把那些有能力、有觉悟、有志于为家乡服务的农民工吸引回来，引导他们返乡创业成为致富带头人，从中择优培养成党员、乡村干部，充实基层干部队伍，这是解决农村党员队伍和基层党组织青黄不接的治本之策。	Attracting back migrant workers who are capable, conscientious, and determined to serve their hometowns, incentivizing them to return there to start businesses and become wealth creators, and then cultivating them as Party members and rural cadres to enrich the ranks of grassroots cadres is a permanent solution to the problem of young people not continuing the work of rural Party corps and grassroots Party organizations.	To attract back migrant workers who have the ability, awareness and desire to serve their hometowns, guide them to return to their hometowns and start their own businesses to become rich leaders. From there, they will be trained to become party members, rural cadres and grassroots cadres. This is a solution to the root causes of rural party members and grassroots party organizations.	Attract those who are capable, conscious and interested in serving their hometown migrant workers back, guide them to return home and start businesses to become rich leaders, choose from merit training into party members and rural cadres, enrich the grassroots cadres, which is to solve the root causes of rural Party members and grassroots Party organizations.
优秀农民工引得回，还要让他们留得住、干得好。	Once outstanding rural migrant workers return, they also must be convinced to stay and do good work.	The good migrant workers are brought back, and they must stay and do well.	Good migrant workers are brought back, and they need to stay and do well.
近年来，四川从狠抓农民工党建入手，在严格人选标准的基础上，建立优秀农民工定向回引、服务保障、培训提能、选拔使用等制度机制，让他们在能力上有提升、工作上有保障、生活上有盼头，真正在农村扎下根，干事创业有成就感。	In recent years, Sichuan has focused more on Party-building among rural migrant workers, and on the basis of strict selection requirements, has established systems and mechanisms such as directed incentives for outstanding rural migrant workers to return, service guarantees, training and promotion, and selection and use which ensure they will gain from their effort, receive guarantees in their work, have things to look forward to in life, truly put down roots in the village, and feel a sense of accomplishment in their work and entrepreneurship.	In recent years, Sichuan has started from the construction of the Peasant Workers Party to establish institutional mechanisms such as orientation introduction, service guarantee, training, and selection and use of outstanding rural workers on the basis of strict selection criteria, so that they can enhance their ability, work security and life skills, take root in the countryside and have a real sense of achievement among officers.	In recent years, Sichuan began by paying close attention to the Party building of migrant workers. On the basis of strict selection criteria, Sichuan has established institutional mechanisms such as oriented referral, service guarantee, training, selection and use of outstanding migrant workers, so that they can improve their ability, secure their jobs, and look forward to their lives.
今年是决战脱贫攻坚的收官之年，做好脱贫攻坚与乡村振兴的衔接，人才是关键因素。	This is the final year of the battle to decisively end poverty, and talent is the key factor to establish the connection between poverty alleviation and rural revitalization.	This year is the end of the battle to fight poverty, to do a good job of fighting poverty and rural revitalization, talent is the key factor.	This year is the end of the decisive fight against poverty, do a good job of poverty alleviation and rural revitalization of the link, talent is the key factor.
各级党委政府要高度重视优秀返乡农民工这一群体，通过综合措施，把他们打造成一支留得住、能战斗、带不走的工作队、生力军，为农村脱贫奔小康和发展振兴提供强有力的组织保障和人才支撑。	Party committees and governments at every level should prioritize rural migrant workers who return to their hometowns, and should use comprehensive measures to form them into a work corps and army that is willing to stay, capable of contributing, and unwilling to leave, so that they can serve as a powerful organizational guarantee and talent pool that supports rural poverty elimination and prosperity building efforts, as well as rural development and revitalization.	The Party committee and government at all levels should attach great importance to the group of good returning rural migrant workers, and adopt comprehensive measures to make them a retention, combatable, non-removable task force and force, so as to provide strong organizational security and talent support for rural poverty alleviation and development and revitalization.	Party committees and governments at all levels should attach great importance to this group of outstanding returning migrant workers and, through comprehensive measures, build them into a task force and new force that can stay, fight and cannot leave, providing strong organizational guarantees and talent support for rural poverty alleviation and development and revitalization.
因为遭遇疫情，今年的大学毕业生是很特殊的一届，7月11日晚，bilibili夏日毕业歌会为毕业生们带来一场特殊的线上直播演出，老狼、朴树、李宇春、毛不易等音乐人为应届毕业生送上歌声和祝福。	Thanks to the pandemic, this year’s university graduates are a very special class: On the evening of July 11th, the “Bilibili Summer Graduation Songs” offered up a special online show for new graduates with performances from musicians such as Lao Lang, Pu Shu, Li Yuchun, and Mao Buyi to give graduates a sendoff of music and good wishes.	Because of the epidemic, this year's college graduates are a very special one. On the evening of July 11, the bilibili summer graduation song will bring a special online live performance for graduates. Musicians such as old wolves, Park Shu, Li Yuchun and Mao are not easy to send songs and blessings to new graduates	Due to the epidemic, this year's university graduates is a very special session. On the evening of July 11, the bilibili summer graduation song will bring a special live online performance for the graduates. Old Wolf, Park Shu, Li Yuchun, Mao Yi and other musicians sent songs and blessings to the new graduates.
知名up主SealWu吴一凡还带来了一首《野草》，这是他根据鲁迅的同名散文诗集改编创作的说唱风歌曲，在年轻人中极受欢迎。	The famous host of Up, Seal Wu, performed his song “Wild Grass”, a rap song based on Lu Xun’s poem of the same name, which is very popular with young people.	The famous upstart, Sealwu Wu, also brought a song called "Weeds," a rap song he wrote based on Lu Xun's prose collection of the same name, which is extremely popular among young people.	Well-known up master SealWu Wu Yifan also brought a song "Weeds," a rap song based on Lu Xun's eponymous prose poetry collection, which is extremely popular among young people.
由于疫情的关系，不少毕业生没能体会现场拨穗、授学位证的仪式感，他们就把仪式感转移到了线上。	Because of the pandemic, many graduates will not be able to enjoy the sounds and sights of receiving their diploma in person, so they moved the ritual and all of its sensations online.	As a result of the epidemic, many graduates fail to appreciate the ritual sense of on-site dispensing and degree-granting, and they move the ritual sense online.	Due to the epidemic, many graduates did not experience the ceremony of awarding diplomas, they transferred the ceremony to the line.
数据显示，这场时长2.5小时的歌会，直播人气峰值超过3500万。	Statistics show that peak viewership of the 2.5 hour special event exceeded 35 million.	According to the data, the 2.5-hour event saw live streaming reach a peak popularity of more than 35 million.	According to the data, the 2.5 hour song, live broadcast popularity peaked over 35 million.
“遵循自己的内心吧，把握住机会，不计较后果，有时反而会有意想不到的收获。”	“Follow your heart, seize opportunities, don’t worry about the consequences, and you’ll reap rewards you never expected. “	"Follow your own heart, seize the opportunity, regardless of the consequences, sometimes have unexpected gains."	"Follow your heart, seize the opportunity, regardless of the consequences, sometimes there are unexpected gains."
虽说是毕业歌会，很多歌曲也让非应届毕业生感动。	Although it was a song for graduates, it moved many non-graduates as well.	Although it is a graduation song, many songs also impress non-graduates.	Although it was a graduation concert, many songs also touched non-graduates.
“整场看下来真的想哭，谁的青春都充满美好和遗憾，但都值得怀念，都要勇敢走下去。”	“After watching the whole presentation, I wanted to cry for the beauty and regrets of youth, because no matter what, they are worth remembering, yet we all have to find the courage to carry on. “	"The whole show really wants to cry. Whose youth is full of goodness and regret, but it's worth remembering. Be brave and go on."	"The whole scene really wants to cry, whose youth is full of beauty and regret, but they are worth remembering, and they must go on bravely."
北京自然生态持续向好 吸引500余种野生动物城市“定居 ” - 中新网	Natural Ecology in Beijing Continues to Improve, attracting More than 500 Kinds of Wildlife to "Settle" in the City - Ecns.cn	Beijing Natural Ecology continues to attract more than 500 kinds of wildlife cities to Beijing -	Beijing's natural ecology continues to attract more than 500 species of wildlife city "settlement"
2020-07-26 05:03:17 来源：北京青年报 作者：王思硕 责任编辑：王思硕	2020-07-26 05:03:17 Source: Beijing Youth Daily Author: Wang Sishuo Editor: Wang Sishuo	2020-07-26 05: 03: 17 Source: Beijing Youth Daily Author: Wang Sishuo Editor: Wang Sishuo	2020-07-26 05: 03: 17From: Beijing Youth Daily Author: Wang SishuoResponsible Editor: Wang Sishuo
首都自然生态持续向好 吸引野生动物城市“定居”	Natural ecology in Beijing continues to improve, attracting wildlife to "settle" in the city	Capital natural ecology continues to attract wildlife city "settlement"	The natural ecology of the capital continues to improve to attract wildlife city "settlement"
北京野生动物已达500余种	Beijing now has more than 500 species of wild animals.	Beijing wildlife has reached more than 500 species	Beijing has more than 500 species of wildlife
本报讯(记者 王斌)北京青年报记者从市园林绿化局获悉，近年来随着首都自然生态环境的持续向好，野生动物的种类和数量也随之持续增加。	(Reporter Wang Bin) The Beijing Youth Daily reporter learned from the Beijing Gardening and Greening Bureau that in recent years, as the natural ecology of the capital continues to improve, the species and number of wild animals had also continued to increase.	This newspaper news (reporter Wang Jun) Beijing youth newspaper reporter from the city landscaping bureau learned that in recent years with the continued improvement of the natural ecological environment in the capital, the species and quantity of wildlife have also increased.	The Beijing Youth Daily reporter learned from the Municipal Landscaping Bureau that in recent years, with the continuous improvement of the natural ecological environment of the capital, the variety and number of wild animals have also continued to increase.
目前，栖息北京的陆生脊椎野生动物已增加至500余种，包括褐马鸡、黑鹳等国家一级保护动物，以及斑羚、大天鹅、灰鹤、鸳鸯等国家二级保护动物。	At present, the number of terrestrial vertebrate wildlife inhabiting Beijing exceeds 500, including national first-level protected animals such as the brown-eared pheasant and black stork, as well as national second-class protected animals such as the goral, whooper swan, grey crane and mandarin duck.	At present, the number of terrestrial vertebrate animals living in Beijing has increased to more than 500 species, including brown-horse chickens, black cockroaches and other national level protected animals, as well as national secondary protected animals such as zebra, sw	At present, the number of terrestrial vertebral wild animals inhabiting Beijing has increased to more than 500 species, including national-level protected animals such as brown horse chickens and black storks, as well as national-level protected animals such as turtle doves, large
无论是种进二环内的一处处城市森林，还是嵌入楼宇之间的小微湿地，不仅为首都市民带来了大自然的野趣，也吸引着野生动物到城市里“定居 ” 。	Whether urban forests planted within the Second Ring Road or a small wetland embedded between buildings, it not only brings nature's rustic charm to the citizens of the capital, but also attracts wild animals to "settle" in the city.	Whether planted in an urban forest in the second ring, or embedded in a small micro wetland between buildings, not only bring nature to the capital's citizens, but also attract wildlife to "settle" in the city.	Whether planted in an urban forest in the second ring or embedded in small wetlands between buildings, not only bring wild nature to the citizens of the capital city, but also attract wildlife to "settle" in the city.
盛夏时节，位于延庆区西北部燕山山脉中的松山国家级自然保护区内一派生机勃勃。	In the summer, the Songshan Nature Reserve in the Yanshan Mountains in the north-west of Yanqing District is full of life.	During the summer months, the Songshan National Nature Reserve is located in the Yanshan Mountains in the northwest of Yanqing District.	In summer, Songshan National Nature Reserve is located in the Yanshan Mountains in the northwest of Yanqing District.
一只貉在山涧旁悠闲玩耍，一旁，两只狗獾互相打闹起来。	A raccoon dog is playing by a creek, while two badgers are playing with each other nearby.	A parrot played leisurely around the foothills while two dog poo played with each other.	A parrot played leisurely by the foothills, while two dogs played with each other.
回过头来，一只野猪忍不住身上的“刺挠”，正使劲蹭着树皮。松山国家级自然保护区管理处主任胡巧立介绍，截至2019年底，在这片总面积超过6200公顷的绿海中，生活着包括国家一级保护动物金雕和国家二级保护动物勺鸡、斑羚在内的178种野生动物，全市近三分之一的野生动物种类都能在这里见到踪迹。	When looking back, you can see that a wild boar, unable to resist the "itch" on its body, is rubbing against a tree. Hu Qiaoli, Director of the Songshan Nature Reserve Management Office, said that by the end of 2019, 178 species of wildlife, including the golden eagle, a national first-level protected animal, as well as the koklass pheasant and gazelles, national second-level protected animals, have been living in this green zone with a total area of more than 6,200 hectares, and nearly a third of wildlife species in Beijing could be found here.	Looking back, a wild boar can't help but lick its bark. Hu Qiaoli, director of the Matsuyama National Nature Reserve Management Office, said that by the end of 2019, there were 178 species of wildlife in the green sea, including first-grade protected animals such as golden eagles and second-degree protected animals such as chickens and badgers.	According to Hu Qiaoli, director of Songshan National Nature Reserve Administration, there are 178 species of wild animals living in this green sea with a total area of more than 6,200 hectares by the end of 2019, including state-level protected animals golden eagles, state-level protected animals such as roosters and turtle-doves. Nearly one-third of the city's wildlife species can be seen here.
“在松山，野生动物是真正的‘主人’，我们工作人员充其量只能算是人家的‘保镖’。”	"Here in Songshan, wild animals are the real 'owners' and our staff can at best be thought of as their 'bodyguards'. ”	"In Matsuyama, wildlife is the real 'owner," and our staff is at best a' bodyguard. "	"In Matsuyama, wild animals are the real 'owners' and our staff can only be regarded as' bodyguards' at best."
胡巧立说，为了实地了解保护区内野生动植物的情况，每天都有30多名专业巡护队员，沿着16条精心制定的保护路线巡查，每个月还会有一趟“转大圈”，用一整天的时间几乎走遍整个保护区。	Hu Qiaoli said, in order to understand the situation of wildlife in the reserve, more than 30 professional patrol members patrol along 16 specifically developed protection routes every day, and every month there is a major one-day round trip for them to walk through almost the entire reserve.	Hu Qiaoli said that in order to understand the situation of wildlife in the reserve on the ground, more than 30 professional patrolmen patrol along 16 carefully designed protection routes every day. Every month, there will also be a "big circle," and spend nearly the entire day in the reserve.	Hu Qiaoli said that more than 30 professional rangers patrolled the reserve every day along 16 carefully crafted conservation routes, and every month there would be a "roundabout" that would spend a full day traveling almost the entire reserve.
“在巡查时，不光要检查记录生物多样性情况，还要检查安装人工鸟巢，救护受伤的野生动物，安装野外红外相机等等。”	"During the patrols, they not only check and record the biodiversity, but also the conditions of artificial bird nests, in addition to rescuing injured wildlife, installing infrared cameras in the field, and so on. ”	"During the patrol, not only record biodiversity, but also install artificial bird nests, rescue injured wildlife, install field infrared cameras, and so on."	"When patrolling, it is not only necessary to check and record biodiversity, but also to check and install artificial bird nests, rescue injured wild animals, install infrared cameras in the field, and so on
松山国家级自然保护区现已安装200余台红外相机，记录下林中野生动物的生活状态。	Now, the Songshan Nature Reserve has more than 200 infrared cameras to record the living conditions of wildlife in the forest.	The Songshan National Nature Reserve has now installed more than 200 infrared cameras to document the living conditions of wildlife in the forest.	Songshan National Nature Reserve has installed more than 200 infrared cameras to record the living conditions of wildlife in the forest.
胡巧立介绍，随着这几年保护区生物多样性不断丰富，越来越多的野生动物出现在镜头之中，豹猫、貉和猪獾已经成为“常驻嘉宾”，国家二级保护动物斑羚的“出镜率”也越来越高。	Hu Qiaoli said that as the reserve's biodiversity has improved over the past few years, more and more wild animals have appeared on camera, with leopard cats, raccoons dogs, and hog-nosed badgers becoming "regular guests"; meanwhile, the goral, a national second-level protected animal, has been captured even more frequently.	Hu Qiaoli said that with the biodiversity of the protected area in recent years, more and more wildlife has appeared in the camera, leopard cats, lizards and bristles have become "resident guests," and the national secondary protection of animal fins "attendance rate is also increasing.	Hu Qiaoli introduced that in recent years, with the increasing biodiversity of the protected areas, more and more wild animals appear in the camera. Leopard cats, lizards and bristles have become "resident guests," and the "appearance rate" of national secondary protected animals is getting higher
北京市园林绿化局野生动植物和湿地保护处处长张志明介绍，北京陆生脊椎野生动物已从1994年的461种，增加到现在的500多种，北京的野生动物种类和数量近年来持续增加。	Zhang Zhiming, Director of the Wildlife and Wetland Protection Department of the Beijing Gardening and Greening Bureau, said that the number of terrestrial vertebrate wildlife in Beijing has increased from 461 species in 1994 to more than 500 species today, and that the number of wildlife species in Beijing has continued to increase in recent years.	Zhang Zhiming, Director of Wildlife and Wetland Conservation at the Beijing Landscape and Landscaping Bureau, said that the number of terrestrial vertebrate wildlife in Beijing has increased from 461 in 1994 to more than 500 today, and the species and	Zhang Zhiming, Director of the Wildlife and Wetlands Protection Division of the Beijing Municipal Bureau of Landscaping and Landscaping, said that Beijing terrestrial vertebral wildlife has increased from 461 species in 1994 to more than 500 species now.
城市中野生动物的身影越发常见，与近年来首都城市绿化不断升级密切相关。	The increasingly common presence of wildlife in the city is closely related to the continuous upgrading of urban greening in Beijing in recent years.	The presence of wildlife in cities is becoming increasingly common and is closely linked to the increasing greening of the capital in recent years.	The presence of wildlife in cities has become increasingly common and is closely linked to the increasing urban greening of the capital in recent years.
特别是2018年开始的新一轮百万亩造林绿化建设，提出要重塑城市生态环境，提升林地绿地的生态功能，突出“近自然”理念。	In particular, the new round of One Million Mu of forestation and greening construction, which began in 2018, intends to reshape the urban ecological environment, enhance the ecological functions of woodlands and greenbelts, and highlight the concept of being "close-to-nature".	In particular, a new round of millions of acres of afforestation and afforestation construction began in 2018, proposing to restore the urban ecological environment, enhance the ecological function of woodland green spaces and	In particular, the new round of million acre afforestation and greening construction starting in 2018 proposes to reshape the urban ecological environment, improve the ecological function of forested green areas and highlight the concept
规划上力求与周边绿地实现互联互动，方便野生动物“走亲访友”，种的树也都是动物们喜爱的蜜源、食源植物。	The plan aims to achieve interconnection and interaction with the surrounding greenbelts, so that wild animals can easily "visit their relatives and friends", and the trees planted are nectar and food source plants that these animals love.	The plan seeks to interact with the surrounding green spaces to facilitate the "family and friends" of wildlife. The trees planted are also a favorite source of honey and food for animals.	In planning, we strive to interact with the surrounding green areas to make it easier for wild animals to visit their families and friends. The trees are also favorite honey and food plants.
黑土地“种”出农业现代化-新华网	Agricultural Modernization in the Black Land -- Xinhua Net	Black land "planted" out of agriculture modernization - Xinhua	Black soil "planted" out of agricultural modernization - Xinhua
新华社哈尔滨7月26日电 题：黑土地“种”出农业现代化	Xinhua News Agency, Harbin, July 26th, 2020 Title: Agricultural Modernization in the Black Land	Xinhua News Agency Harbin July 26: black land "planted" agricultural modernization	Xinhua News Agency Harbin, July 26: Black soil "planted" agricultural modernization
盛夏，两架喷施药剂飞机从友谊农场第五管理区第二作业站的万亩高产示范田掠过，形成两道白线，绿色田野里用黑色稻苗种出的“天下第一场”几个大字格外醒目。	In mid-summer, two planes that spray pesticides flew above the Ten Thousand Mu High-Yield Demonstration Field of the Second Work Station, Fifth Management Area, Youyi Farm, forming two white lines, and the large characters “The World’s No.1 Farm” were extremely clear as formed by the black rice seedlings in the green field.	In the summer, two spraying agents passed through the high-yield demonstration field of the second operating station in the fifth management area of Friendship Farm, forming two white lines. The "first field in the world" with black rice seedlings in the green field was especially conspicuous.	In summer, two aeroplanes sprayed chemicals from the second operation station of the fifth management area of Friendship Farm crossed the 10,000 mu high-yielding demonstration field, forming two white lines, green fields with black rice seedlings out of the "world's first field" several words particularly striking.
这个作业站站长孔令强说，这种飞机一天能对6000多亩耕地喷施药剂，效率约是无人机的8倍，是人工的数百倍。	Kong Lingqiang, Director of the Work Station, said that such planes were able to spray pesticides over 6,000 mu (400 hectares) of fields per day, the efficiency of which was eight times unmanned aerial vehicle, and hundreds of times that of human labor.	The operator, Kong Lingqiang, said that the aircraft can spray more than 6,000 acres of arable land a day, which is about eight times more efficient than drones and hundreds of times more artificial.	Kong Lingqiang, the station director, said such aircraft can spray more than 6,000 acres of cultivated land a day, about eight times more efficient than drones and hundreds of times more artificial.
这个农场位于我国第一产粮大省黑龙江省友谊县境内，从过去“唰唰”的割稻声穿越到如今“隆隆”的马达声，中华传统农耕与农场在这片黑土带上实现蜕变。	The farm is located in Youyi County, Heilongjiang Province, which is the largest grain production base of China, and judging from the swish of cutting the rice seedlings with sickles in the past to the rumble of motors today, we can see that China’s traditional agriculture and farm have changed tremendously in the black land.	This farm is located in Heilongjiang Province, China's first grain-producing province. From the sound of cutting rice in the past to the sound of the motor of the present, traditional Chinese farming and farming have metamorphosed in this black strip.	This farm is located in Youyi County, Heilongjiang Province, China's largest grain-producing province. From the sound of rice cutting in the past to the sound of motors in the present, traditional Chinese farming and farming have transformed in this black soil belt.
除了飞机，卫星也被用于友谊农场现代化农业生产中。	Apart from planes, satellites are also used in the modernized agricultural production of Youyi Farm.	In addition to aircraft, satellites are also used in the modern agricultural production of Friendship Farm.	In addition to aircraft, satellites are also used in modern agricultural production at Friendship Farm.
孔令强介绍，一方面，他们利用卫星遥感技术实现精准施肥，降低农业投入，减少污染；另一方面，卫星导航技术可以提高农机田间标准化作业水平。	Kong Lingqiang stated that on one hand, they utilized satellite remote sensing technology to achieve accurate fertilization and reduce inputs in agriculture and pollution; on the other , satellite navigation technology improves the standardized work of agricultural machines in the field.	According to Kong Lingqiang, on the one hand, they use satellite remote sensing technology to achieve precise fertilization, reduce agricultural inputs and reduce pollution; on the other hand, satellite navigation technology can improve the standardization of	Kong Lingqiang introduced, on the one hand, they use satellite remote sensing technology to achieve accurate fertilization, reduce agricultural input, reduce pollution; on the other hand, satellite navigation technology can improve the standard operation level of agricultural machinery field.
在今年的水稻生产过程中，农场将卫星导航无人驾驶插秧技术的作业面积从去年的3000亩扩展到30000亩。	During the production of rice this year, the farm extended the area utilizing satellite navigation unmanned driving transplantation technology to 30,000 mu (2,000 hectares) from 3,000 mu (200 hectares) last year.	During rice production this year, the farm expanded the operating area of its sat-nav unmanned interpolator technology to 30,000 acres from 3,000 acres last year.	During this year's rice production, the farm expanded its operations with satellite navigation unmanned interpolation technology to 30,000 acres from 3,000 acres last year.
这项技术令秧苗栽植更加均匀，可使阳光和耕地资源利用最大化，每亩还能节约16元人工成本。	Such technology enables more even transplantation of rice seedlings, which maximizes the use of sunlight and arable fields, saving RMB 16 on human labor per mu on average.	This technology makes planting more uniform, maximizes the use of sunlight and cropland resources, and saves 16 yuan in labor costs per acre.	This technology makes seedling planting more uniform, maximizes the use of sunlight and farmland resources, and saves 16 yuan per acre in labor costs.
农场在农业生产中尝试信息化、智能化等新技术，形成了从地面到天空的我国规模最大的农业机械群。	The attempt to use new information technologies and intelligent technologies in the farm’s agricultural production is the largest agricultural machine group in China.	The farm tries new technologies such as informatization and intelligence in agricultural production, forming the largest agricultural machinery group in China from the ground to the sky.	Farms try new technologies such as informatization and intelligence in agricultural production, forming China's largest agricultural machinery group from the ground to the sky.
据统计，目前农场农机总保有量4.9万台（件）， 田间综合机械化率达99.8%。	According to statistics, there are 49,000 agricultural machines held by the farms at present, and the overall mechanization rate is 99.8%.	According to statistics, the total stock of farm machinery is 49,000 units (pieces), and the comprehensive mechanization rate of the field is 99.8.	According to statistics, the current total holdings of farm machinery 49,000 units (pieces), field comprehensive mechanization rate of 99.8.
农机作业实现GPS卫星导航100%、旱田精密播种100%、旱田大马力机车作业100%。	The rates of using GPS satellite navigation for agricultural machines, accurate sowing in dry land, and using machines with high horsepower on dry land are all 100%.	GPS satellite navigation 100, precision seeding of dryland 100 and heavy-duty locomotive operation of dryland 100 are	Agricultural machinery operation to achieve GPS satellite navigation 100, dryland precision seeding 100, dryland high horsepower locomotive operation 100
“绿色农业、智慧农业、数字农业是农业现代化的探路方向 。”	“Green agriculture, smart agriculture, and digital agriculture are the directions of exploration in agricultural modernization, ”	"Green agriculture, smart agriculture, digital agriculture are the probing directions of agricultural modernization."	"Green agriculture, smart agriculture, digital agriculture is the direction of agricultural modernization."
友谊农场场长刘化莲说。	Liu Hualian, President of Youyi Farm, said.	Friendship Farm director Liu Hualian said.	Friendship Farm director Liu Hualian said.
农业现代化关键在于科技进步。	The key to agricultural modernization is scientific and technological advancements.	The key to modernizing agriculture is scientific and technological progress.	The key to agricultural modernization lies in technological progress.
