Dominic Raab: Government can't make apologies for Spain quarantine decision	Dominic Raab：政府不能为隔离西班牙的决定道歉	多米尼克・拉伯：政府不能为西班牙的隔离决定道歉	Dominic Raab ：政府不能为西班牙的检疫决定道歉
"I understand it is disruptive for those going through this who are in Spain or have been considering going but we must be able to take swift, decisive action to protect the UK," he said.	他说：“我知道，对于那些身在西班牙或一直在考虑前往西班牙的人来说，这一决定非常不近人情，但我们必须有能力采取迅速、果断的行动来保护英国。”	他说：“我知道这对那些在西班牙或一直在考虑的人来说是破坏性的，但我们必须能够迅速采取果断的行动来保护英国。”	他说：“我知道这对那些在西班牙或一直在考虑的人来说是破坏性的，但我们必须能够采取迅速果断的行动来保护英国。”
"We've made such progress in getting the virus down and preventing the virus re-taking hold in the UK."	“在减少病例数量和防控疫情反扑方面，我们已经取得了不小的成果。”	“我们已经取得了这样的进展，使病毒下降，并防止病毒在英国重新夺取。”	“我们在降低病毒传播和防止病毒在英国重新占据方面取得了这样的进展。”
Shadow Health Secretary Jonathan Ashworth condemned the Government for its "frankly shambolic" handling of the measure.	影子卫生大臣 Jonathan Ashworth 谴责政府的处理方式“毫无章法”。	阴影健康秘书乔纳森・阿什沃斯谴责政府对这项措施的 “坦率地说” 的处理。	影子健康秘书乔纳森？艾利沃斯谴责政府对这项措施的 “坦率的袖标” 处理。
He said Downing Street's sudden decision had left holidaymakers "confused and distressed."	他表示，唐宁街突然的决定让度假者“既困惑又沮丧”。	他说，唐宁街的突然决定让度假者 “感到困惑和不安”。	他说，唐宁街的突然决定让度假者感到困惑和不安。
The Labour MP told Sophy Ridge: "I understand why they've made the decision but, of course, the way in which this decision has been made in the last 24 hours is frankly shambolic.	这位工党议员告诉 Sophy Ridge：“我理解他们为什么做出这个决定，但是，他们在过去 24 个小时内做出这样一个决定毫无章法。	工党议员对 Sophy Ridge 说：“我理解他们为什么做出了决定，但当然，在过去 24 小时里做出这一决定的方式实在是太离谱了。	工党议员对 Sophy Ridge 说：“我理解他们为什么做出了决定，但当然，在过去 24 小时里做出这一决定的方式实在是不光彩的。
"There are holidaymakers in Spain at the moment confused and distressed, there are people about to go on holiday to Spain and the islands like Tenerife who are confused, and they don't know whether their employers will allow them to take two weeks" quarantine.	“此时此刻身在西班牙的度假者会感到困惑和沮丧，计划前往西班牙和特内里费等岛屿度假的人也会感到困惑，他们不知道雇主是否能接受他们隔离两周。”	他说：“西班牙的度假者们感到困惑和不安，有的人准备去西班牙度假，像特内西这样的岛屿，他们很困惑，他们不知道他们的雇主是否允许他们接受两个星期的隔离。	他说：“西班牙的度假者们现在感到困惑和不安，有的人打算去西班牙度假，而像特内里费岛这样的岛屿也很困惑，他们不知道他们的雇主是否允许他们接受两个星期的隔离。
"The Government is just saying, "we hope that employers co-operate.""	“政府只是在说‘我们希望雇主合作。’”	"政府只是说，" 我们希望雇主合作 " 。	政府只是说， "我们希望雇主合作" 。
"The way in which this decision has been made in the last 24 hours is frankly shambolic."	“他们在过去 24 个小时内做出这个决定毫无章法。”	“在过去的 24 小时里做出这一决定的方式实在是太离谱了。”	"在过去 24 小时内作出这一决定的方式实在令人费解。"
What does Spain being on quarantine list mean for holidaymakers?	将西班牙列入隔离名单对度假者而言意味着什么？	西班牙的检疫名单对度假者意味着什么？	西班牙在检疫名单上对度假者意味着什么？
He urged ministers to offer "clarity" on whether those who are asked to quarantine will receive financial support if their employers refuse to pay them during the quarantine period.	他敦促部长们进行“澄清”，如果雇主拒绝在隔离期间支付工资，这些被要求隔离的人是否可以得到财政支持。	他敦促部长们提供 "明确" ，说明那些被要求隔离的人是否会得到财政支助，如果他们的雇主在隔离期间拒绝支付。	他敦促部长们 “澄清” 那些被要求隔离的人是否会得到财政支持，如果他们的雇主拒绝在检疫期间支付他们的工资。
He added that clear information was also needed "for those holidaymakers who are currently in Spain who have properly saved up all year for their family holiday who are confused and distressed."	他还补充说，“对于那些目前身在西班牙的度假者来说，他们可能为这次家庭旅行攒了整整一年的钱，他们会感到既困惑又沮丧”，因此这些人也需要获得明确的信息。	他补充说，还需要明确的信息， "对于那些目前在西班牙的度假者来说，他们每年都有适当的积蓄，为他们的家庭假日感到困惑和苦恼" 。	他补充说，还需要明确的信息， "对于那些目前居住在西班牙的度假者，他们为自己的家庭度假而适当地积蓄了一年，因为他们感到困惑和痛苦" 。
"The way in which this decision has been communicated is obviously causing anxiety," he stressed.	他强调：“传达这一决定的方式显然引起了焦虑。”	他强调说：“这一决定的沟通方式显然引起了焦虑。”	他强调：“这一决定的沟通方式显然引起了焦虑。”
Mr Raab said no worker following the new guidance should be penalised by employers, including by being put onto sick pay.	Raab 先生表示，遵循新指导方针的员工不应受到雇主的处罚，例如列入病假工资名单。	拉伯先生说，在新的指导下，任何工人都不应该受到雇主的惩罚，包括被解雇。	Raab 先生说，在新的指导下，任何工人都不应该受到雇主的惩罚，包括支付病假工资。
He said: "We are changing the rules - the law is changed in relation to holidaymakers and travellers - and of course we expect employers to show those employees who will have to quarantine because of the law the flexibility they need.	他说：“我们仍在修改规定的内容——涉及修改的内容与度假者和游客相关，当然，我们希望雇主能够灵活地处理那些因为法律要求而被隔离的员工。	他说：“我们正在改变规则 — — 关于度假者和旅行者的法律改变了 — — 当然，我们希望雇主们能向那些因法律而不得不隔离的员工展示他们所需要的灵活性。	他说：“我们正在改变规则 — — 法律在度假者和旅行者方面有所改变 — — 当然，我们希望雇主们能让那些因为法律需要的灵活性而不得不隔离的员工。
"If someone is following the law in relation to quarantine and self-isolating the way they should, they can't have penalties taken against them."	如果是为了遵循有关隔离的法律并进行自我隔离，他们就不应当受到处罚。”	“如果有人遵循有关隔离和自我隔离的法律，他们就不会受到惩罚。”	“如果有人遵守有关检疫和自我隔离的法律，他们就不会受到惩罚。”
US "failures" are holding back search for coronavirus drugs	美国的“失误”阻碍了新冠药物的研发	美国的 “失败” 阻碍了对冠状病毒药物的搜索	美国 “失败” 阻碍了对冠状病毒药物的搜索
The global effort to produce useful anti-Covid medicines is being hampered by the US because researchers are testing drugs in "an arbitrary, willy-nilly way," the expert leading the UK's programme has warned.	一位英国新冠药物研发项目的专家称，由于美国研究人员“随心所欲地”测试药品，影响了全球研发新冠药物的进度。	英国方案的专家警告说，全球生产有用的抗坏血酸药物的努力正受到美国的阻碍，因为研究人员正在以 “任意、温和的方式” 测试药物。	英国方案的专家警告说，全球生产有用的抗 Covid 药物的努力正受到美国的阻碍，因为研究人员正在以 “任意的、不吉利的方式” 测试药物。
Britain's Recovery Trial programme, which has involved 12,000 patients at several hundred British hospitals, has already pinpointed one promising new drug to tackle the disease and also highlighted two others - previously thought to be potential life-savers - as being useless.	目前为止，已有 12,000 名来自数百家医院的患者加入了英国康复试验计划，该计划确定了一种可能用于治疗新冠的新药，并指出之前认为的另外两种可以治疗该疾病的药物其实没有效果。	英国的康复试验方案涉及数百名英国医院的 12 ， 000 名病人，该方案已经确定了一个有前途的新药物，以解决这一疾病，并强调了另外两个人 ---- 以前被认为是潜在的拯救者 ---- 是无用的。	英国的复苏试验方案涉及到数百家英国医院的 12 ， 000 名病人，已经确定了一个有前途的新药物来解决这一疾病，并强调了另外两个以前被认为是潜在的救生员 — — 因为它是无用的。
But the failure of the US medical system to match this output has meant that other promising treatments that could have been cleared for widespread use have still to be evaluated.	但是，由于美国医疗体系未实行类似的康复计划，意味着原本可获准并广泛使用的其他有效治疗方式仍有待评估。	但是，美国医疗体系未能与这一产出相匹配，这意味着其他有前途的治疗方法可能已经被广泛使用，但仍有待评估。	但美国医疗系统未能与这一产出相匹配，这意味着其他有前途的治疗方法仍有待评估。
In particular, convalescent plasma (blood plasma that is taken from Covid-19 patients and which contains antibodies that could protect others against the disease) has still to be properly tested on a large-scale randomised trial.	需要特别指出的是，恢复期血浆（即取自新冠康复患者的血浆）含有新冠病毒抗体，后续仍需对其进行大规模临床随机试验。	特别是，康复血浆（从 Covid - 19 患者身上提取的血浆，其中含有能保护他人免受这种疾病影响的抗体）仍有待在大规模随机试验中进行适当的检测。	特别是，康复血浆（从 Covid - 19 患者身上提取的血浆，其中包含可以保护他人免受疾病侵袭的抗体）仍有待在大规模随机试验中进行适当测试。
"Tens of thousands of people have already been given convalescent plasma in the US but these treatments were not randomised," said Professor Martin Landray, one of the founders of the Recovery programme.	康复计划的发起人之一、大规模药物临床试验专家 Martin Landray 教授表示：“未经临床随机试验的情况下，美国已经有成千上万的人接受了恢复期血浆治疗。”	“成千上万的人已经在美国获得了康复血浆，但这些治疗不是随机的，” 恢复方案的创始人之一马丁・兰德雷教授说。	“在美国，成千上万的人已经获得了康复血浆，但这些治疗方法并不是随机的，” 康复计划的创始人之一马丁・兰雷教授说。
"They just give individuals convalescent plasma in the hope it will work. Vast quantities have been given and they still have no idea whether it helps or harms or has no impact," added Landray, an expert in the setting up of large-scale drug trials.	Landray 补充道：“他们只是给个人提供恢复期血浆，但并不知道是否有效。尽管他们已经向大量民众提供了恢复期血浆，但仍不明确该血浆是否有效果、是否对人体有害、是否有副作用。”	“他们只是给个人康复血浆，希望它能奏效。大量已经给出，他们仍然不知道它是否有助于或伤害或没有影响，” 补充 Landray , 在建立大规模药物试验专家 .	“他们只是给个人康复血浆，希望它能发挥作用。已经提供了大量的血浆，他们仍然不知道它是否有助于或伤害或没有影响，” Landray 补充说，建立大规模药物试验的专家。
The US is failing to do large, randomised trials and that ends up providing bad medicine	美国未进行大规模临床随机试验，最终提供了不良药物	美国没有进行大规模的随机试验，最终提供了不良的药品	美国没有进行大规模的随机试验，最终提供了不良药品
Randomised drug trials are the gold standard for pinpointing useful medicines.	临床随机药物试验是判断药物是否有效的黄金标准。	随机药物试验是确定有用药物的黄金标准。	随机药物试验是确定有用药物的黄金标准。
They remove unconscious biases that might cloud clinicians' judgments.	通过试验，可消除可能影响临床医生判断的无意识偏见。	他们消除了可能使临床医生判断的无意识偏见。	他们消除了可能导致临床医生判断的无意识偏见。
Thousands of people are given a drug and thousands of others are given a placebo.	在临床随机药物试验中，受试者分为治疗组和安慰剂组。	成千上万的人得到了一种药物，成千上万的人得到了安慰剂。	成千上万的人得到了一种药物，成千上万的人得到了安慰剂。
No one knows which they have been given.	没人知道受试者接受了哪种药剂。	没有人知道他们得到了什么。	没有人知道他们得到了什么。
Then results are compared and the efficacy of the treatment revealed.	然后，比较试验结果以得出哪种药剂具有治疗效果。	然后比较结果和治疗效果。	然后比较结果和治疗效果。
In this way, Recovery was able to demonstrate that the steroid dexamethasone reduced deaths by a third in Covid-19 patients on ventilators.	通过这种方式，康复计划证明了类固醇地塞米松可将通过呼吸机治疗的新冠患者的死亡率降低三分之一。	通过这种方式，恢复能够证明类固醇地塞米松减少了三分之一的 Covid - 19 患者在呼吸机上的死亡 .	通过这种方式， Recovery 能够证明类固醇地塞米松使 Covid - 19 呼吸机患者的死亡人数减少了三分之一。
It also showed that the much-hyped drug hydroxychloroquine - as well as the combined therapy of the drugs lopinavir and ritonavir - had no effect in saving patients' lives.	计划还表明，大肆宣传的药物羟氯喹以及洛匹那韦和利托那韦的联合疗法对患者无效。	它还表明，大量的基氯药物 — — 以及药物 lopinavir 和 ritonavir 的联合疗法 — — 对挽救患者的生命没有任何影响。	该研究还表明，大量使用的药物氯 — — 以及药物洛匹那韦和利托那韦的联合治疗 — — 对挽救患者的生命没有任何影响。
Crucially these trials needed very large numbers of patients and no single hospital has enough for such research.	最重要的是，这些试验需要大量的患者参与，然而没有一家医院有足够的患者供其研究。	至关重要的是，这些试验需要大量的病人，没有一家医院有足够的时间进行这种研究。	至关重要的是，这些试验需要大量的病人，没有一家医院有足够的时间进行这种研究。
Britain has had one key advantage - a centralised National Health Service.	英国的关键优势在于其集中的国家医疗服务体系。	英国有一个关键优势 — — 一个集中的国家卫生服务机构。	英国拥有一个关键优势 — — 一个集中的国家卫生服务机构。
By contrast, the US health service is fragmented and its only success in pointing a possible treatment has been highlighting the usefulness of the highly expensive drug remdesivir for speeding recovery of some Covid-19 patients.	相较而言，美国的医疗服务体系并不完善，其唯一的成果就是指出价格昂贵的瑞德西韦并不能加速新冠患者的康复。	相比之下，美国的医疗服务是支离破碎的，它在指出可能的治疗方面唯一的成功是强调了昂贵的药物治疗对一些科维德 - 19 患者加速康复的效用。	相反，美国的医疗服务是支离破碎的，它在指出可能的治疗方面唯一的成功是强调了昂贵的药物 remdesivir 对于加速一些 Covid - 19 患者的恢复的效用。
"There are lots and lots of small drugs trials involving a few dozen or a few hundred patients going on in the US but nothing of any substance," added Landray.	Landray 补充道：“在美国，正进行着许多几十名或几百名患者参与的小规模药物试验，但是并未取得实质性成果。	兰德雷补充说：“在美国有很多小的药物试验，涉及到几十名或几百名病人，但没有任何物质。”	兰雷补充说：“在美国，有大量的小型药物试验，涉及几十人或几百名病人，但没有任何物质。”
"They are failing to do large, randomised trials and that ends up providing bad medicine. It makes the practice of medicine poorer and the outcomes for patients poorer."	他们并未进行大规模临床随机试验，最终提供了不良药物。这使得医疗效果和患者预后情况都很差。”	“他们未能进行大规模的随机试验，最终提供了不良的药物。这使得药物的实践更加糟糕，患者的结果也更加糟糕。”	“他们没有进行大规模的随机试验，最终提供了不良药物。这使得药物实践更加糟糕，患者的结果更加糟糕。”
Landray said this failure was particularly exasperating when it came to the use of convalescent plasma, which many doctors believe could have a key role to play in treating seriously ill Covid-19 patients.	Landray 表示，很多医生认为恢复期血浆能在针对新冠重症病人的治疗中起到重要作用，但实际情况并非如此。	兰德雷说，在使用康复血浆时，这种失败特别令人恼怒，许多医生认为这可能在治疗严重疾病的 Covid - 19 患者方面发挥关键作用。	Landray 说，在使用康复血浆时，这种失败特别令人恼怒，许多医生认为这可能在治疗严重疾病 Covid - 19 患者方面发挥关键作用。
"If you look at the US, huge quantities of this treatment have been used on an arbitrary willy-nilly basis. The UK excels beyond measure compared with what's going on there," he added.	他补充道：“美国在未经临床随机试验的情况下，向大量患者采取了恢复期血浆疗法。与美国相比，我们取得了巨大成就。”	他补充说：“如果你看看美国，那么大量的这种治疗方法就被任意使用了。与那里发生的事情相比，英国的优势超出了衡量。”	他补充说：“如果你看看美国，大量的这种治疗方法都是随意使用的。与那里发生的事情相比，英国超越了衡量。”
Professor Peter Horby, an expert on infectious diseases and the other founder of the Recovery programme, said:	另一位康复计划发起人、传染病专家 Peter Horby 教授说：	传染病专家 Peter Horby 教授和恢复方案的其他创始人说：	传染病专家和康复方案的另一位创始人彼得・霍比教授说：
"There have been reports of 20,000 patients getting convalescent plasma in a cohort but none of those patients were randomised. If they had put these patients into randomised trials, we would now have a clear answer about the effectiveness of convalescent plasma."	“有报道称，一个队列中有 20,000 名患者接受了恢复期血浆治疗，但是他们并不是临床随机试验患者。如果他们也对这些患者进行了临床随机试验，那么我们现在也就能明确知道恢复期血浆的效果。”	“有报告称，有 20 , 000 名患者在队列中获得了康复血浆，但这些患者中没有一个是随机的。如果他们将这些患者置于随机试验中，我们现在就会对康复血浆的有效性有一个明确的答案。”	“有报告称，有 20 , 000 名患者在一个队列中获得康复血浆，但这些患者中没有一个是随机的。如果他们将这些患者纳入随机试验，我们现在可以对康复血浆的有效性有一个明确的答案。”
Horby added that UK Recovery has now launched a randomised trial of convalescent plasma but does not expect results to be ready until later this year.	Horby 补充道，目前英国康复试验计划已经启动了恢复期血浆的临床随机试验，但预计要到今年年底才会有研究结果。	Horby 补充说，英国的复苏已经启动了对康复血浆的随机试验，但预计今年晚些时候不会有结果。	霍比补充说，英国复苏已经启动了对康复血浆的随机试验，但预计直到今年晚些时候才会有结果。
Salmonella outbreak sickens 212 people in 23 states	23 个州爆发沙门氏菌疫情，已致 212 人感染	沙门氏菌的爆发使 23 个州的 212 人患病	沙门氏菌疫情使 23 个州的 212 人患病
July 25 (UPI) -- The Centers for Disease Control and Prevention is investigating an outbreak of salmonella that has sickened 212 people in 23 states.	7 月 25 日（合众国际社）——美国疾病控制与预防中心（CDC）正在对 23 个州爆发的沙门氏菌疫情展开调查，此次疫情已致 212 人感染。	7 月 25 日（ UPI ） ---- 疾病控制和预防中心正在调查沙门氏菌的爆发，在 23 个州有 212 人患病。	7 月 25 日（ UPI ） ---- 疾病控制和预防中心正在调查沙门氏菌的爆发，在 23 个州有 212 人患病。
In a Friday press release the CDC reported that 87 people had become ill since its last update on the outbreak Tuesday.	在周五发布的新闻中，CDC 报告称，自上周二更新疫情以来已发现 87 例感染患者。	在星期五的新闻发布会上，疾病防治中心报告说，自从上星期二发生疫情以来，已有 87 人患病。	在星期五的新闻发布会上，疾病防治中心报告说，自周二疫情最新情况以来，已有 87 人生病。
The agency said people began showing symptoms linked to a strain of salmonella, which can take two to four weeks to manifest symptoms, between June 19 and July 11.	CDC 表示，6 月 19 日至 7 月 11 日开始有人表现出感染沙门氏菌的相关症状（可能需要二到四周的时间才会显现症状）。	该机构称，在 6 月 19 日至 7 月 11 日期间，人们开始出现与沙门氏菌菌株有关的症状，这些症状可能需要两到四个星期才能显示症状。	该机构称，人们开始出现与沙门氏菌菌株有关的症状，在 6 月 19 日至 7 月 11 日期间，沙门氏菌的症状可能需要 2 至 4 周
Thirty-one people have been hospitalized since the outbreak began, but no fatalities have been reported.	自疫情爆发以来，已有 31 位患者被收治入院，目前尚无死亡报告。	自疫情爆发以来，已有 31 人住院治疗，但没有死亡的报告。	自疫情爆发以来，已有 31 人住院治疗，但没有死亡报告。
According to the CDC, a specific source for the salmonella strain has not been identified.	CDC 指出，沙门氏菌菌株的具体来源尚不明确。	疾病防治中心认为，尚未确定沙门氏菌菌株的具体来源。	根据 CDC 的数据，尚未确定沙门氏菌菌株的具体来源。
It has not issued any advisement against eating or consuming particular foods, nor named retailers that might be selling contaminated products.	CDC 没有发布禁食或禁用特定食物的建议，也没有提到任何可能销售受污染商品的零售商。	它没有发布任何反对食用或消费特定食品的建议，也没有指定可能出售受污染产品的零售商。	它没有发布任何反对食用或食用特定食品的建议，也没有指定可能出售受污染产品的零售商。
Oregon has had the most cases of salmonella, with 51 infections, with Utah following close behind with 40 reported cases.	俄勒冈州报告的沙门氏菌病例最多，共有 51 例；犹他州紧随其后，共报告了 40 例。	俄勒冈州有最多的沙门氏菌病例，有 51 例感染，而犹他州紧随其后的是 40 例报告病例。	俄勒冈州的沙门氏菌病例最多，有 51 例感染，犹他州紧随其后，有 40 例报告病例。
Salmonella is a bacterial, foodborne illness that causes 1.35 million infections, 26,500 hospitalizations, and 420 deaths each year, according to the CDC.	CDC 表示，沙门氏菌是一种细菌性食源性疾病，每年导致 135 万人感染，26,500 人住院治疗和 420 人死亡。	根据 CDC 的数据，沙门氏菌是一种细菌，食源性疾病，每年造成 135 万人感染， 26500 人住院， 420 人死亡。	根据 CDC 的数据，沙门氏菌是一种细菌、食源性疾病，每年造成 135 万人感染， 26500 人住院， 420 人死亡。
The most common symptoms of salmonella infection are diarrhea, fever, and stomach cramps, which can begin between six hours and six days after exposure.	感染沙门氏菌后的常见症状包括腹泻、发烧和胃痉挛，这些症状可能在接触病菌后的六小时到六天内开始显现。	沙门氏菌感染最常见的症状是腹泻、发烧和胃，这些症状可以在接触后 6 小时至 6 天之间开始。	沙门氏菌感染最常见的症状是腹泻、发烧和胃，这些症状可以在接触后 6 小时至 6 天之间开始。
The illness usually lasts four to seven days, and most people recover without treatment, but some cases require hospitalization.	病状通常会持续四到七天，大多数人无需治疗即可康复，但某些病例需要住院治疗。	这种疾病通常持续 4 至 7 天，大多数人在没有治疗的情况下康复，但有些病例需要住院治疗。	这种疾病通常持续 4 至 7 天，大多数人在没有治疗的情况下康复，但有些病例需要住院治疗。
Couple MACED at California dog park for not wearing face masks while having lunch (VIDEO) - RT USA News	加州狗狗公园夫妇被袭，皆因午餐时未戴口罩（视频）——RT 电视台美国新闻	在加州的狗公园里，一对夫妇在吃午饭时没有戴口罩。	在加州的狗公园里，一对夫妇在吃午饭时不戴口罩
There's mask-shaming and then there's full on assault.	先是口罩羞辱，后有拳打脚踢。	有面具，然后就满了攻击。	有面具，然后就有攻击。
A California couple having lunch with their puppy at a dog park experienced the second, when an irate woman pepper-sprayed them for refusing to mask up... while eating.	加利福尼亚的一对夫妇在狗狗公园与他们的爱犬一起共进午餐时就遇到了这种情况。一位妇女怒冲冲地向他们喷射胡椒喷雾，就因为他们没有在吃东西时戴上口罩。	一对加州夫妇和他们的小狗一起在狗公园吃午饭，当一个愤怒的女人在吃饭时拒绝掩盖他们的时候，他们就会对他们进行喷洒。	一对加利福尼亚夫妇和他们的小狗一起在狗公园吃午饭时，一个愤怒的女人用胡椒粉喷他们拒绝掩盖 … … 吃的时候。
Ash O'Brien and husband Jarett Kelley say they were grabbing a bite to eat at Dusty Rhodes dog park in San Diego on Thursday, with their three-month-old pug in tow.	Ash O’Brien 和丈夫 Jarett Kelley 称，周四他们带着三个月大的巴哥犬在圣地亚哥的 Dusty Rhodes 狗狗公园吃午餐。	奥布莱恩和丈夫贾雷特・凯利说，他们在周四在圣地亚哥的 Dusty Rhodes 狗公园里抓了一口，他们的 3 个月大的狗被拖着。	奥勃良和丈夫贾雷特・凯利说，他们周四在圣地亚哥的 Dusty Rhodes 狗公园吃了一口，他们的 3 个月大的幼被拖住了。
The pair had their masks off to eat, when a "random old lady" approached, calling them "idiots" for not masking up, even though "you can't wear a mask and eat at the same time."	夫妇二人取下口罩准备吃东西时，一个“不知从哪冒出来的老太太”走过来叫他们“白痴”，因为他们没有戴口罩，虽然他们说“戴着口罩怎么吃东西”。	当一个 “随机的老太太” 走近时，这两个人的面具就会消失，他们称他们为 “白痴”，因为他们没有掩盖，即使 “你不能同时戴面具和吃饭”。	当一个 “随机的老太太” 走近时，这对夫妇带着面具去吃，称他们为 “白痴”，而不是掩盖，即使 “你不能戴面具，同时吃东西”。
O'Brien told the woman to leave the park and stop harassing her, at which point the woman unleashed a can of mace at the couple.	O’Brien 让这名女子离开公园并停止她的骚扰行为，这时，女子对着两人喷射胡椒喷雾。	奥勃良告诉这名妇女离开公园，停止骚扰她，这时，这名妇女释放了一对夫妇。	奥勃良告诉这名妇女离开公园，停止骚扰她，这时，这名妇女在这对夫妇身上释放了一种可能。
Video footage captured by a bystander begins with Kelley wrestling the spray can from the woman, and getting a dose of mace into the face for his troubles.	旁观者拍下的视频从 Kelley 与女子争夺喷雾罐开始，他因此被喷了一脸。	一名旁观者拍摄的录像片段从凯利开始，从这名妇女身上喷出来，并为他的麻烦而给他打了一剂药。	一名旁观者拍摄的录像片段开始时，凯利从女人身上摔跤，并在脸上给他的麻烦注入了剂量。
O'Brien can be heard crying in the background as the attacker walks away with her dogs.	袭击者带着狗离开后，背景声里可以听到 O’Brien 哭泣。	当攻击者带着她的狗走开时，奥勃良可以听到在背景下哭泣的声音。	当攻击者和她的狗走开时，奥勃良可以听到哭泣的声音。
O'Brien shared the video on Facebook and told ABC 10 that she wants to see the woman "go to jail."	O’Brien 将这段视频上传到脸书网，并向 ABC 10 频道表示希望这名女子“进监狱”。	奥勃良在 Facebook 上分享了这个视频，并告诉美国广播公司 10 她想去看那个女人 “去监狱”。	奥勃良在 Facebook 上分享了视频，并告诉美国广播公司 10 她想看这个女人 “进监狱”。
Face masks are mandatory across the state of California, even in fresh air.	加州全域强制要求佩戴口罩，即使是在空气新鲜的地方。	在加利福尼亚州，即使在新鲜空气中，口罩也是强制性的。	即使在新鲜空气中，口罩也是强制性的。
These masks can only be removed at a select few times, including when eating or drinking.	人们只能在规定的时段取下口罩，譬如饮食的时候。	这些面具只能在选定的几次，包括在吃饭或饮酒时被移除。	这些口罩只能在选择的几次，包括在吃或喝的时候被移除。
However, nowhere in the state's coronavirus guidelines does it say that bystanders may use non-lethal weapons to enforce this policy.	但是，该州的新冠疫情防控指南并没有提及旁观者可以使用非致命性武器来督促这一规定的执行。	然而，国家的冠状病毒准则中没有任何地方说旁观者可以使用非致命性武器来执行这一政策。	然而，在国家的冠状病毒指南中没有任何地方说旁观者可以使用非致命性武器来执行这一政策。
